id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
312,2020-10-29 19:28:37.348662,,,,,,f,,{},participant,ae264f9507918177eacf7abb8a2e07de,mturk,312,3I0BTBYZAZS01BV2I10WW2OWMX3Y0Q,312:3I0BTBYZAZS01BV2I10WW2OWMX3Y0Q,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:29:06.376641,3,,bad_data
146,2020-10-29 18:54:48.223364,,,,,,f,,{},participant,8053bee243f80461457a86cd0bc9d74d,mturk,146,3AUQQEL7U70JXH0XDQDCP3K24GVV08,146:3AUQQEL7U70JXH0XDQDCP3K24GVV08,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:22:21.856329,3,1.2,approved
303,2020-10-29 19:26:45.810554,,,,,,f,,{},participant,7825389ce05ad072bae67c6152366d16,mturk,303,30BXRYBRP647N66Y18PTHX2XX66HWD,303:30BXRYBRP647N66Y18PTHX2XX66HWD,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:27:46.562739,3,,bad_data
228,2020-10-29 19:09:51.739452,,,,,,f,,{},participant,4c074ae2054eb18a3c75f8b3d7972238,mturk,228,3EA3QWIZ4K2FRKDOCL23UPWDTPVIT9,228:3EA3QWIZ4K2FRKDOCL23UPWDTPVIT9,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:29:11.601141,,,abandoned
34,2020-10-29 18:44:04.481608,,,,,,f,,{},participant,2575deeb69a89e3c0cba2adbc449c933,mturk,34,3KMS4QQVK4XWEALBH4IQQ1WPUKCFK9,34:3KMS4QQVK4XWEALBH4IQQ1WPUKCFK9,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:07.592395,3,0,approved
254,2020-10-29 19:15:55.700601,,,,,,f,,{},participant,94d107f72e2ed462d3dcd76f0dc509e6,mturk,254,3XXU1SWE8O2Z5TXZ2VMGTG6PJ6Y0AG,254:3XXU1SWE8O2Z5TXZ2VMGTG6PJ6Y0AG,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:31:43.58613,,,returned
199,2020-10-29 19:04:50.588958,,,,,,f,,{},participant,45f2d815f9499ffa0455c59410056b31,mturk,199,3JNQLM5FT6TNXMRHE9FKLIFFAGH2LK,199:3JNQLM5FT6TNXMRHE9FKLIFFAGH2LK,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:34:54.62279,3,0.2,approved
67,2020-10-29 18:48:48.987066,,,,,,f,,{},participant,33f5490651b693a67436879c6b9a7ee2,mturk,67,3FFJ6VRIL3VEBBGXEJETAEU8WE00IH,67:3FFJ6VRIL3VEBBGXEJETAEU8WE00IH,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:57.923515,3,0.8,approved
322,2020-10-29 19:31:58.542034,,,,,,f,,{},participant,e023f4a57be6c9c48d8e17a0b2fabe0f,mturk,322,339ANSOTR79GO1N1ICOBTY9HACCKID,322:339ANSOTR79GO1N1ICOBTY9HACCKID,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:32:46.005917,3,,bad_data
139,2020-10-29 18:54:16.137139,,,,,,f,,{},participant,0825801181e900cffce6a204716ab47e,mturk,139,3B1NLC6UG13331EM5GTG43I0P9KPGL,139:3B1NLC6UG13331EM5GTG43I0P9KPGL,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:01:04.722876,3,,bad_data
21,2020-10-29 18:43:22.776136,,,,,,f,,{},participant,1997991844780adbe7997c9f728b2496,mturk,21,3V5Q80FXIZY6HI1S83BKPWLYAUM323,21:3V5Q80FXIZY6HI1S83BKPWLYAUM323,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:34.336976,3,0.2,approved
71,2020-10-29 18:49:03.754475,,,,,,f,,{},participant,1fb601777890e01749a59a82dce50a84,mturk,71,36U2A8VAG362E126MUAEFM350V4KYD,71:36U2A8VAG362E126MUAEFM350V4KYD,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:56.432098,3,0.2,approved
65,2020-10-29 18:48:45.53618,,,,,,f,,{},participant,bd3699116bad6d99c23f41e4e4d86efc,mturk,65,37C0GNLMHHASHBMQOUTZSIOMHCE6DM,65:37C0GNLMHHASHBMQOUTZSIOMHCE6DM,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:00.48244,3,0.8,approved
35,2020-10-29 18:44:19.665049,,,,,,f,,{},participant,c4620be9dba9aacaeef0f0d1e0463359,mturk,35,3GGAI1SQEX5K1M14BE55X83QMCFCM0,35:3GGAI1SQEX5K1M14BE55X83QMCFCM0,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:02.634866,3,,bad_data
