id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
111,2020-10-29 18:42:42.992867,,,,,,f,,{},35LDD5557CB2KKDS3RM3LRGYRLOKML,AssignmentAccepted
113,2020-10-29 18:42:43.052721,,,,,,f,,{},3PWWM24LHU5SIF7YKK6GGDT9QGD82Z,AssignmentAccepted
115,2020-10-29 18:42:49.256831,,,,,,f,,{},3C44YUNSI3W0RH4V3QS8YIF3CH2DPX,AssignmentAccepted
117,2020-10-29 18:42:49.300942,,,,,,f,,{},3WQ3B2KGEAN4VSN94SQC2W956GKB1K,AssignmentAccepted
120,2020-10-29 18:42:49.365688,,,,,,f,,{},340UGXU9D08ZD3CDBXRWEA89K5YUV9,AssignmentAccepted
122,2020-10-29 18:42:49.422942,,,,,,f,,{},34HJIJKLP730W5IYWR0E16AFLSAV4N,AssignmentAccepted
124,2020-10-29 18:42:51.415958,,,,,,f,,{},3B2X28YI3YMZ2EO6AY2TXS0MER0B6I,AssignmentAccepted
126,2020-10-29 18:42:51.44654,,,,,,f,,{},3ATPCQ38JAHW2OTKA3XPL809VJ8AYM,AssignmentAccepted
129,2020-10-29 18:42:52.312502,,,,,,f,,{},3HUTX6F6VWUV37UER1VCDZJ95LHO2I,AssignmentAccepted
131,2020-10-29 18:42:53.360035,,,,,,f,,{},3E1QT0TDFRGWT0L09NR83T0QFCAI8K,AssignmentAccepted
134,2020-10-29 18:42:53.451494,,,,,,f,,{},358010RM5G0RU768G22JYH7DENFXV4,AssignmentAccepted
136,2020-10-29 18:42:54.340432,,,,,,f,,{},3N4BPTXIOAZLXSI1CTDPC1XS47RKUD,AssignmentAccepted
138,2020-10-29 18:42:54.383592,,,,,,f,,{},3WS1NTTKE0JU1KE7DB887HHGGM6F03,AssignmentAccepted
140,2020-10-29 18:42:55.480672,,,,,,f,,{},3W92K5RLWWOISOMYAWJO6YGTLO5V5S,AssignmentAccepted
77,2020-10-29 18:42:37.514823,,,,,,f,,{},37M28K1J0SK67ZYLO3WMBLLLIFZAJS,AssignmentAccepted
78,2020-10-29 18:42:37.538299,,,,,,f,,{},317HQ483I9ZHW784FPGRLQQL479IN8,AssignmentAccepted
80,2020-10-29 18:42:37.56386,,,,,,f,,{},339ANSOTR79GO1N1ICOBTY9HAC4KI5,AssignmentAccepted
82,2020-10-29 18:42:37.58805,,,,,,f,,{},3B1NLC6UG13331EM5GTG43I0P9IPGJ,AssignmentAccepted
83,2020-10-29 18:42:37.784962,,,,,,f,,{},3E1QT0TDFRGWT0L09NR83T0QFCAI8K,AssignmentAccepted
85,2020-10-29 18:42:38.156008,,,,,,f,,{},3XIQGXAUMEFPJH5CY4Z3S3RAS587XM,AssignmentAccepted
86,2020-10-29 18:42:38.185369,,,,,,f,,{},3K4J6M3CXG0WGX8KGXBJE8T5QNIAGO,AssignmentAccepted
