id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
2992,2020-10-29 19:23:54.418326,,,,,,t,2020-10-29 19:24:28.436104,{},329,337,26
2893,2020-10-29 19:23:02.176673,,,,,,t,2020-10-29 19:24:45.605848,{},47,332,24
2894,2020-10-29 19:23:02.185259,,,,,,t,2020-10-29 19:24:45.610712,{},48,332,24
2895,2020-10-29 19:23:02.19376,,,,,,t,2020-10-29 19:24:45.619392,{},332,323,24
2896,2020-10-29 19:23:02.205394,,,,,,t,2020-10-29 19:24:45.624116,{},323,332,24
2897,2020-10-29 19:23:02.212911,,,,,,t,2020-10-29 19:24:45.629137,{},332,316,24
2898,2020-10-29 19:23:02.221596,,,,,,t,2020-10-29 19:24:45.63371,{},316,332,24
2899,2020-10-29 19:23:02.229399,,,,,,t,2020-10-29 19:24:45.638372,{},332,324,24
2900,2020-10-29 19:23:02.23629,,,,,,t,2020-10-29 19:24:45.643301,{},324,332,24
2901,2020-10-29 19:23:02.243386,,,,,,t,2020-10-29 19:24:45.648382,{},332,318,24
2902,2020-10-29 19:23:02.250048,,,,,,t,2020-10-29 19:24:45.653251,{},318,332,24
2903,2020-10-29 19:23:02.256369,,,,,,t,2020-10-29 19:24:45.65811,{},332,320,24
2904,2020-10-29 19:23:02.262801,,,,,,t,2020-10-29 19:24:45.66276,{},320,332,24
2905,2020-10-29 19:23:02.269919,,,,,,t,2020-10-29 19:24:45.667556,{},332,321,24
2906,2020-10-29 19:23:02.276102,,,,,,t,2020-10-29 19:24:45.673659,{},321,332,24
2959,2020-10-29 19:23:43.72253,,,,,,t,2020-10-29 19:24:45.679482,{},336,332,24
2960,2020-10-29 19:23:43.736699,,,,,,t,2020-10-29 19:24:45.686018,{},332,336,24
2777,2020-10-29 19:21:08.638189,,,,,,t,2020-10-29 19:24:48.254477,{},318,313,24
2778,2020-10-29 19:21:08.644637,,,,,,t,2020-10-29 19:24:48.263263,{},313,318,24
2779,2020-10-29 19:21:08.651509,,,,,,t,2020-10-29 19:24:48.26955,{},47,318,24
2780,2020-10-29 19:21:08.65866,,,,,,t,2020-10-29 19:24:48.275983,{},48,318,24
2781,2020-10-29 19:21:08.666719,,,,,,t,2020-10-29 19:24:48.287841,{},318,316,24
